id,display_id,title,step_no,step_name,substep_name,difficulty,leetcode_url,tuf_article_url
"cpp-basics","Q-1211","Cpp Basics",1,"Learn the basics","Things to Know in C++/Java/Python or any language","Easy","","https://takeuforward.org/data-structure/what-are-arrays-strings"
"for-loops","Q-2867","For loops",1,"Learn the basics","Things to Know in C++/Java/Python or any language","Easy","","https://takeuforward.org/for-loop/understanding-for-loop/"
"functions-pass-by-reference-and-value","Q-2866","Functions (Pass by Reference and Value)",1,"Learn the basics","Things to Know in C++/Java/Python or any language","Easy","","https://takeuforward.org/data-structure/functions-pass-by-reference-and-value"
"if-elseif","Q-424","If ElseIf",1,"Learn the basics","Things to Know in C++/Java/Python or any language","Easy","","https://takeuforward.org/if-else/if-else-statements/"
"input-output","Q-425","Input Output",1,"Learn the basics","Things to Know in C++/Java/Python or any language","Easy","","https://takeuforward.org/c/c-basic-input-output/"
"switch-case","Q-429","Switch Case",1,"Learn the basics","Things to Know in C++/Java/Python or any language","Easy","","https://takeuforward.org/switch-case/switch-case-statements/"
"theory-with-examples","Q-1219","Theory with examples",1,"Learn the basics","Things to Know in C++/Java/Python or any language","Easy","","https://takeuforward.org/time-complexity/time-and-space-complexity-strivers-a2z-dsa-course/"
"two-sum","Q-37","Two Sum",1,"Learn the basics","Overview","Medium","","https://takeuforward.org/data-structure/two-sum-check-if-a-pair-with-given-sum-exists-in-array/"
"what-are-arrays-strings","Q-2869","What are arrays, strings?",1,"Learn the basics","Things to Know in C++/Java/Python or any language","Easy","","https://takeuforward.org/data-structure/what-are-arrays-strings"
"while-loops","Q-2868","While loops",1,"Learn the basics","Things to Know in C++/Java/Python or any language","Easy","","https://takeuforward.org/while-loop/while-loops-in-programming/"
"easy-and-medium","Q-1216","Easy and Medium",1,"Learn the basics","Build-up Logical Thinking","Easy","","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/"
"hard","Q-1205","Hard",1,"Learn the basics","Build-up Logical Thinking","Easy","","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/"
"pattern-1","Q-401","Pattern 1",1,"Learn the basics","Patterns","Easy","","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/"
"pattern-10","Q-402","Pattern 10",1,"Learn the basics","Patterns","Easy","","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/"
"pattern-11","Q-403","Pattern 11",1,"Learn the basics","Patterns","Easy","","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/"
"pattern-12","Q-404","Pattern 12",1,"Learn the basics","Patterns","Easy","","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/"
"pattern-13","Q-405","Pattern 13",1,"Learn the basics","Patterns","Easy","","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/"
"pattern-14","Q-406","Pattern 14",1,"Learn the basics","Patterns","Easy","","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/"
"pattern-15","Q-407","Pattern 15",1,"Learn the basics","Patterns","Easy","","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/"
"pattern-16","Q-408","Pattern 16",1,"Learn the basics","Patterns","Easy","","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/"
"pattern-17","Q-409","Pattern 17",1,"Learn the basics","Patterns","Easy","","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/"
"pattern-18","Q-410","Pattern 18",1,"Learn the basics","Patterns","Easy","","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/"
"pattern-19","Q-411","Pattern 19",1,"Learn the basics","Patterns","Easy","","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/"
"pattern-2","Q-412","Pattern 2",1,"Learn the basics","Patterns","Easy","","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/"
"pattern-20","Q-413","Pattern 20",1,"Learn the basics","Patterns","Medium","","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/"
"pattern-21","Q-414","Pattern 21",1,"Learn the basics","Patterns","Medium","","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/"
"pattern-22","Q-415","Pattern 22",1,"Learn the basics","Patterns","Medium","","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/"
"pattern-3","Q-416","Pattern 3",1,"Learn the basics","Patterns","Easy","","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/"
"pattern-4","Q-417","Pattern 4",1,"Learn the basics","Patterns","Easy","","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/"
"pattern-5","Q-418","Pattern 5",1,"Learn the basics","Patterns","Easy","","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/"
"pattern-6","Q-419","Pattern 6",1,"Learn the basics","Patterns","Easy","","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/"
"pattern-7","Q-420","Pattern 7",1,"Learn the basics","Patterns","Easy","","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/"
"pattern-8","Q-421","Pattern 8",1,"Learn the basics","Patterns","Easy","","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/"
"pattern-9","Q-422","Pattern 9",1,"Learn the basics","Patterns","Easy","","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/"
"java-collections","Q-1217","Java Collections",1,"Learn the basics","Learn STL/Java-Collections or similar thing in your language","Easy","","https://takeuforward.org/data-structure/java-collections"
"stl","Q-1218","STL",1,"Learn the basics","Learn STL/Java-Collections or similar thing in your language","Easy","","https://takeuforward.org/c/c-stl-tutorial-most-frequent-used-stl-containers/"
"check-for-prime-number","Q-365","Check for Prime Number",1,"Learn the basics","Know Basic Maths","Easy","","https://takeuforward.org/data-structure/check-if-a-number-is-prime-or-not/"
"check-if-the-number-is-armstrong","Q-366","Check if the Number is Armstrong",1,"Learn the basics","Know Basic Maths","Easy","https://leetcode.com/problems/armstrong-number/","https://takeuforward.org/maths/check-if-a-number-is-armstrong-number-or-not/"
"count-all-digits-of-a-number","Q-367","Count all Digits of a Number",1,"Learn the basics","Know Basic Maths","Easy","","https://takeuforward.org/data-structure/count-digits-in-a-number/"
"gcd-of-two-numbers","Q-372","GCD of Two Numbers",1,"Learn the basics","Know Basic Maths","Easy","","https://takeuforward.org/data-structure/find-gcd-of-two-numbers/"
"palindrome-number","Q-374","Palindrome Number",1,"Learn the basics","Know Basic Maths","Easy","https://leetcode.com/problems/palindrome-number/","https://takeuforward.org/data-structure/check-if-a-number-is-palindrome-or-not/"
"print-all-divisors","Q-2807","Print all Divisors",1,"Learn the basics","Know Basic Maths","easy","","https://takeuforward.org/data-structure/print-all-divisors-of-a-given-number/"
"reverse-a-number","Q-376","Reverse a number",1,"Learn the basics","Know Basic Maths","Easy","https://leetcode.com/problems/reverse-integer/","https://takeuforward.org/maths/reverse-digits-of-a-number"
"check-if-string-is-palindrome-or-not","Q-378","Check if String is Palindrome or Not",1,"Learn the basics","Learn Basic Recursion","Easy","https://leetcode.com/problems/valid-palindrome/","https://takeuforward.org/data-structure/check-if-the-given-string-is-palindrome-or-not/"
"factorial-of-a-given-number","Q-371","Factorial of a given number",1,"Learn the basics","Learn Basic Recursion","Easy","","https://takeuforward.org/data-structure/factorial-of-a-number-iterative-and-recursive"
"fibonacci-number","Q-381","Fibonacci Number",1,"Learn the basics","Learn Basic Recursion","Easy","https://leetcode.com/problems/fibonacci-number/","https://takeuforward.org/arrays/print-fibonacci-series-up-to-nth-term/"
"print-1-to-n-using-recursion","Q-850","Print 1 to N using Recursion",1,"Learn the basics","Learn Basic Recursion","Easy","","https://takeuforward.org/recursion/print-1-to-n-using-recursion/"
"print-n-to-1-using-recursion","Q-852","Print N to 1 using Recursion",1,"Learn the basics","Learn Basic Recursion","Easy","","https://takeuforward.org/recursion/print-n-to-1-using-recursion/"
"print-name-n-times-using-recursion","Q-2405","Print name N times using recursion",1,"Learn the basics","Learn Basic Recursion","Easy","","https://takeuforward.org/recursion/print-name-n-times-using-recursion/"
"reverse-an-array","Q-342","Reverse an array",1,"Learn the basics","Learn Basic Recursion","Easy","","https://takeuforward.org/data-structure/reverse-a-given-array/"
"sum-of-first-n-numbers","Q-386","Sum of First N Numbers",1,"Learn the basics","Learn Basic Recursion","Easy","","https://takeuforward.org/data-structure/sum-of-first-n-natural-numbers/"
"understand-recursion-by-print-something-n-times","Q-2401","Understand recursion by print something N times",1,"Learn the basics","Learn Basic Recursion","Easy","","https://takeuforward.org/recursion/introduction-to-recursion-understand-recursion-by-printing-something-n-times/"
"basic-hashing","Q-1203","Basic Hashing",1,"Learn the basics","Learn Basic Hashing","Easy","","https://takeuforward.org/hashing/hashing-maps-time-complexity-collisions-division-rule-of-hashing-strivers-a2z-dsa-course/"
"counting-frequencies-of-array-elements","Q-252","Counting Frequencies of Array Elements",1,"Learn the basics","Learn Basic Hashing","Easy","","https://takeuforward.org/data-structure/count-frequency-of-each-element-in-the-array/"
"highest-occurring-element-in-an-array","Q-344","Highest Occurring Element in an Array",1,"Learn the basics","Learn Basic Hashing","Easy","https://leetcode.com/problems/frequency-of-the-most-frequent-element/","https://takeuforward.org/arrays/find-the-highest-lowest-frequency-element/"
"bubble-sort","Q-943","Bubble Sort",2,"Learn Important Sorting Techniques","Sorting-I","Easy","","https://takeuforward.org/data-structure/bubble-sort-algorithm/"
"insertion-sorting","Q-944","Insertion Sorting",2,"Learn Important Sorting Techniques","Sorting-I","Easy","","https://takeuforward.org/data-structure/insertion-sort-algorithm/"
"selection-sort","Q-947","Selection Sort",2,"Learn Important Sorting Techniques","Sorting-I","Easy","","https://takeuforward.org/sorting/selection-sort-algorithm/"
"merge-sorting","Q-945","Merge Sorting",2,"Learn Important Sorting Techniques","Sorting-II","Medium","","https://takeuforward.org/data-structure/merge-sort-algorithm/"
"quick-sorting","Q-946","Quick Sorting",2,"Learn Important Sorting Techniques","Sorting-II","Easy","","https://takeuforward.org/data-structure/quick-sort-algorithm/"
"recursive-bubble-sort","Q-881","Recursive Bubble Sort",2,"Learn Important Sorting Techniques","Sorting-II","Easy","","https://takeuforward.org/arrays/recursive-bubble-sort-algorithm/"
"recursive-insertion-sort","Q-882","Recursive Insertion Sort",2,"Learn Important Sorting Techniques","Sorting-II","Easy","","https://takeuforward.org/arrays/recursive-insertion-sort-algorithm/"
"check-if-the-array-is-sorted-ii","Q-379","Check if the Array is Sorted II",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Easy","Easy","https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/#:~:text=Input%3A%20nums%20%3D%20%5B2%2C,no%20rotation)%20to%20make%20nums.","https://takeuforward.org/data-structure/check-if-an-array-is-sorted/"
"find-missing-number","Q-44","Find missing number",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Easy","Easy","","https://www.geeksforgeeks.org/find-the-missing-number/"
"find-the-number-that-appears-once-and-other-numbers-twice","Q-2793","Find the number that appears once, and other numbers twice.",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Easy","Medium","https://leetcode.com/problems/single-number/","https://takeuforward.org/arrays/find-the-number-that-appears-once-and-the-other-numbers-twice/"
"largest-element","Q-38","Largest Element",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Easy","Easy","","https://takeuforward.org/data-structure/find-the-largest-element-in-an-array/"
"left-rotate-array-by-k-places","Q-39","Left Rotate Array by K Places",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Easy","Easy","https://leetcode.com/problems/rotate-array/","https://takeuforward.org/data-structure/rotate-array-by-k-elements/"
"left-rotate-array-by-one","Q-40","Left Rotate Array by One",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Easy","Easy","https://leetcode.com/problems/rotate-array/","https://takeuforward.org/data-structure/left-rotate-the-array-by-one/"
"linear-search","Q-41","Linear Search",3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Easy","Easy","","https://takeuforward.org/data-structure/linear-search-in-c/"
